src_asn,src_org,src_geo,src_port,last_seen,first_seen,l4_proto,src_ip,dst_ip,dst_asn,dst_org,dst_geo,dst_port,d2s_bytes,s2d_bytes
-1,N/A,N/A,55610,1709720682049,2024-03-06 10:24:40.255+00,TCP,192.168.100.100,44.238.220.45,16509,AMAZON-02,Boardman,443,8308,3854
-1,N/A,N/A,51663,1709720684566,2024-03-06 10:24:43.626+00,UDP,192.168.100.100,104.21.43.141,13335,CLOUDFLARENET,N/A,443,5404,3717
-1,N/A,N/A,55611,1709720681595,2024-03-06 10:24:40.52+00,TCP,192.168.100.100,44.238.220.45,16509,AMAZON-02,Boardman,443,3958,1015
-1,N/A,N/A,55959,1709720680168,2024-03-06 10:24:39.935+00,UDP,192.168.100.100,172.217.166.202,15169,GOOGLE,N/A,443,4989,3733
-1,N/A,N/A,56819,1709720685665,2024-03-06 10:24:45.657+00,TCP,192.168.100.100,23.223.243.122,9498,BHARTI Airtel Ltd.,New Delhi,443,145,180
-1,N/A,N/A,55581,1709720694314,2024-03-06 10:24:19.484+00,TCP,192.168.100.100,51.79.152.81,16276,OVH SAS,Singapore,443,5044,3694
-1,N/A,N/A,60545,1709720688979,2024-03-06 10:24:48.767+00,UDP,192.168.100.100,142.250.192.227,15169,GOOGLE,N/A,443,7194,4227
-1,N/A,N/A,62039,1709720678972,2024-03-06 10:24:32.016+00,TCP,192.168.100.100,20.42.73.25,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Washington,443,7697,4631
-1,N/A,N/A,62040,1709720678984,2024-03-06 10:24:32.269+00,TCP,192.168.100.100,20.42.73.25,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Washington,443,7152,1455
-1,N/A,N/A,52964,1709720695729,2024-03-06 10:24:55.717+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,300,95
-1,N/A,N/A,62041,1709720688998,2024-03-06 10:24:45.437+00,TCP,192.168.100.100,20.42.73.25,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Washington,443,7812,6469
-1,N/A,N/A,56982,1709720675706,2024-03-06 10:24:35.56+00,TCP,192.168.100.100,20.89.134.221,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Tokyo,443,66,60
-1,N/A,N/A,59064,1709720683850,2024-03-06 10:24:43.625+00,TCP,192.168.100.100,142.251.12.188,15169,GOOGLE,Queens,443,140,140
-1,N/A,N/A,55279,1709720690301,2024-03-06 10:24:50.254+00,TCP,192.168.100.100,40.126.17.133,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Chennai,443,66,60
-1,N/A,N/A,51944,1709720687277,2024-03-06 10:24:47.269+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,106,90
-1,N/A,N/A,57577,1709720677963,2024-03-06 10:24:37.729+00,UDP,192.168.100.100,142.250.206.130,15169,GOOGLE,N/A,443,4471,2611
-1,N/A,N/A,53346,1709720686916,2024-03-06 10:24:43.416+00,TCP,192.168.100.100,157.240.239.20,32934,FACEBOOK,Noida,443,3663,5840
-1,N/A,N/A,58090,1709720681416,2024-03-06 10:24:41.409+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,192,80
-1,N/A,N/A,62046,1709720688997,2024-03-06 10:24:45.7+00,TCP,192.168.100.100,20.42.73.25,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Washington,443,7272,1610
-1,N/A,N/A,56989,1709720673058,2024-03-06 10:24:32.856+00,TCP,192.168.100.100,52.123.168.219,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Tokyo,443,101,172
-1,N/A,N/A,57068,1709720679865,2024-03-06 10:24:39.858+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,99,74
-1,N/A,N/A,51437,1709720684326,2024-03-06 10:24:44.318+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,113,97
-1,N/A,N/A,55580,1709720678957,2024-03-06 10:24:19.479+00,TCP,192.168.100.100,70.42.32.95,22075,AS-OUTBRAIN,N/A,443,5570,3144
-1,N/A,N/A,55535,1709720670539,2024-03-06 10:24:30.356+00,UDP,192.168.100.100,142.250.194.131,15169,GOOGLE,N/A,443,4616,2701
-1,N/A,N/A,55548,1709720678290,2024-03-06 10:24:38.283+00,TCP,192.168.100.100,142.250.194.129,15169,GOOGLE,N/A,443,66,60
-1,N/A,N/A,55584,1709720678969,2024-03-06 10:24:19.736+00,TCP,192.168.100.100,70.42.32.95,22075,AS-OUTBRAIN,N/A,443,3990,1230
-1,N/A,N/A,52978,1709720691398,2024-03-06 10:24:51.389+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,143,79
-1,N/A,N/A,60776,1709720688028,2024-03-06 10:24:47.512+00,UDP,192.168.100.100,142.250.194.14,15169,GOOGLE,N/A,443,5217,18063
